site,lat,long,nickname,year_sampled,Distance_m,PO4_mgkg,SO4_mgkg,NO3_mgkg,NH3_mgkg,HCO3_mgkg,Ca_mgkg,Mg_mgkg,K_mgkg,Na_mgkg,Cl_mgkg,Fe_mgkg,Mn_mgkg,Cu_mgkg,Zn_mgkg,B_mgkg,pH,P_Bray_I_mgkg,N.per,C.per,N15,C13,Notes,date_sampled,line_id,y_obs,d_obs,est_d_death,age_days,sex,cause_death,age_class,plant.species.fol,N.per_fol,C.per_fol,N15_fol,C13_fol,dist2road,dist2river,dist2aw,region,soil_type,land_gertenbach1983,Domwoody_venter,Geomorph_venter,LTYPE_venter,average_rainfall_mm,death_date,survey_date,average_precip_16_25,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,ele_count_2017_buf,ele_groups_2017_buf,buffer_km,buffer_area_km2,ele_density_2017_buf,ele_pressure_2017,mass_bones,average_score_bones,frag_count,nonfrag_count,pellets_dung,elephant_dung,pat_dung,zebra_dung,hyena_dung,jackal_dung,carnivore_dung,rhino_dung,death_month,survey_month,average_temp_16_24,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,season_survey
B_2022_54,-24.543322,31.799921,Marheya,2025,15,15.42,1.99,67.21,0.03,30.51,12.5,9.71,35.78,11.29,12.01,31.34,0.27,0.33,0.13,0.06,6.94,141.79,0.12,1.71,8.38,-13.9,NA,17-Mar-25,Marheya_2025_soil,2022,29-Aug-22,6/30/2022,991,male,Natural,adult,Gymnosporia senegalensis,0.96,42.71,1.26,-29.14,2159.596738,3178.992432,4256.434082,Central,Basalt,Kumana Sandveld,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,454.4447684,2022-06-30T00:00:00Z,2025-03-17T00:00:00Z,551.6881769,548.5995536,697.8758569,524.5190902,278,39,10,314.1592654,0.884901484,378.8782154,1.9,3.75,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-01T00:00:00Z,2025-03-01T00:00:00Z,22.6520202,22.15,22.87272727,22.50555556,32.3,34.7,dry,late_wet
B_2023_15,-25.15009,31.2842,Woody,2025,15,0.005,4.45,134.58,0.44,0.61,19.56,7.64,18.49,2.99,5.28,4.24,0.11,0.005,0.01,0.16,4.61,10.3,0.07,0.94,3.73,-17.58,NA,5-Mar-25,Woody_2025_soil,2023,28-Jan-23,1/25/2023,770,male,Natural,adult,Terminalia sericea,1.4,45.56,-0.5,-28.88,124.7936758,648.3532715,2191.235352,South,Granite,Lowveld Sour Bushveld of Pretoriuskop,Open-dense Terminalia sericea/Dichrostachys cinereatree savanna.  Pterocarpus angolensis is often a prominent tree,Moderately undulating plains below foothills of Great Escarp.(highest areas of landsys),SK01: Pretoriuskop,560.6265607,2023-01-25T00:00:00Z,2025-03-05T00:00:00Z,692.0179944,647.1735821,925.7168159,660.2829571,337,38,10,314.1592654,1.072704316,292.5967256,0.12,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-01T00:00:00Z,2025-03-01T00:00:00Z,21.48686869,21.39545455,21.44090909,21.37222222,32,32.6,late_wet,late_wet
B_2022_54,-24.543322,31.799921,Marheya,2025,5,20.39,6.6,44.8,0.03,12.2,12.14,10.45,36.66,14.64,29.74,30.94,0.39,0.32,0.12,0.07,5.67,180.82,0.13,1.82,7.52,-14.27,NA,17-Mar-25,Marheya_2025_soil,2022,29-Aug-22,6/30/2022,991,male,Natural,adult,Gymnosporia senegalensis,1.45,42.26,12.32,-29.94,2159.596738,3178.992432,4256.434082,Central,Basalt,Kumana Sandveld,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,454.4447684,2022-06-30T00:00:00Z,2025-03-17T00:00:00Z,551.6881769,548.5995536,697.8758569,524.5190902,278,39,10,314.1592654,0.884901484,378.8782154,1.9,3.75,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-01T00:00:00Z,2025-03-01T00:00:00Z,22.6520202,22.15,22.87272727,22.50555556,32.3,34.7,dry,late_wet
B_2020_100,-25.089355,31.243995,Albasini,2025,5,0.48,3.33,66.08,6.56,1.22,13,4.87,7.88,6.31,4.8,1.02,0.14,0.07,0.53,0.15,4.67,6.02,0.09,1.13,5.63,-17.19,NA,5-Mar-25,Albasini_2025_soil,2020,9-Dec-20,12/3/2020,1553,male,Natural,adult,Combretum apiculatum,1.48,47.43,4.39,-29.25,304.6948127,6418.899414,1380.727539,South,Granite,Lowveld Sour Bushveld of Pretoriuskop,Open-dense Terminalia sericea/Dichrostachys cinereatree savanna.  Pterocarpus angolensis is often a prominent tree,Moderately undulating plains below foothills of Great Escarp.(highest areas of landsys),SK01: Pretoriuskop,612.5492397,2020-12-03T00:00:00Z,2025-03-05T00:00:00Z,632.447114,627.2409425,895.8774095,620.3342333,199,22,10,314.1592654,0.633436674,258.4252547,0.2,4.666666667,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01T00:00:00Z,2025-03-01T00:00:00Z,21.78080808,21.48636364,21.21818182,21.65555556,31.5,32.9,early_wet,late_wet
B_2020_100,-25.089355,31.243995,Albasini,2025,15,0.31,1.3,67.7,34.42,0.005,9.88,4.54,10.39,3.54,3.52,0.75,0.09,0.17,0.22,0.15,4.45,2.07,0.05,0.67,4.34,-16.12,NA,5-Mar-25,Albasini_2025_soil,2020,9-Dec-20,12/3/2020,1553,male,Natural,adult,Combretum apiculatum,1.55,46.58,1.31,-29.84,304.6948127,6418.899414,1380.727539,South,Granite,Lowveld Sour Bushveld of Pretoriuskop,Open-dense Terminalia sericea/Dichrostachys cinereatree savanna.  Pterocarpus angolensis is often a prominent tree,Moderately undulating plains below foothills of Great Escarp.(highest areas of landsys),SK01: Pretoriuskop,612.5492397,2020-12-03T00:00:00Z,2025-03-05T00:00:00Z,632.447114,627.2409425,895.8774095,620.3342333,199,22,10,314.1592654,0.633436674,258.4252547,0.2,4.666666667,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01T00:00:00Z,2025-03-01T00:00:00Z,21.78080808,21.48636364,21.21818182,21.65555556,31.5,32.9,early_wet,late_wet
B_2022_33,-23.06978,30.91227,Msinya,2024,15,0.16,5.76,21.08,1.19,39.66,5.61,3.89,24.24,0.29,10.07,0.23,0.73,2.11,0.09,0.005,6.39,7.19,0.09,1.14,5.57,-18.03,NA,20-Mar-24,Msinya_2024_soil,2022,4-Apr-23,4/9/2022,711,male,Poached,adult,Colophospermum mopane,1.579,47.126,1.951114698,-27.62938203,1089.562752,2585.275391,6672.101074,North,Granite,Colophospermum mopane / Acacia nigrescens savanna,C.mopane/Pterocarpus rotundifolius/C.apiculatum bush savanna,Slightly undulating plains becoming more undulating & incised close to Phugwane R,PH10: Bububu,371.9511807,2022-04-09T00:00:00Z,2024-03-20T00:00:00Z,475.065034,361.1855645,384.218508,169.310101,111,11,10,314.1592654,0.353323974,243.2335908,85.79,2.69047619,11,31,NA,0.66,NA,NA,NA,NA,NA,NA,2022-04-01T00:00:00Z,2024-03-01T00:00:00Z,22.95505051,22.53181818,23.08636364,23.38636364,32.8,33.2,dry,late_wet
B_2023_66,-23.81536,31.49551,Machalolo,2024,15,0.25,11.53,25.84,0.67,3.05,4.11,3.09,6.26,3.92,4.58,0.58,0.11,0.06,0.08,0.15,5.23,20.48,0.07,0.84,5.28,-20.12,NA,16-Mar-24,Machalolo_2024_soil,2023,16-Jul-23,7/16/2023,244,female,Management,adult,Colophospermum mopane,1.587,46.878,2.172783747,-27.88194035,1200.249433,4883.600586,7517.097656,Central,Basalt,Punda Maria Sandveld on Cave Sandstone,Chomophytes on rock outcrops with T.sericea/C.zeyheri/C.collinum bush savanna on deep sand. C.mopane/E.divinorum tree/bush savanna on shale/mudstone,Strongly - slightly undulating plains of LTIII erosion surface,BU01: Bulweni,365.0032478,2023-07-16T00:00:00Z,2024-03-16T00:00:00Z,462.376609,473.4461799,275.8268936,286.7453411,370,46,10,314.1592654,1.177746579,359.9637699,0.51,5,95,0,0.02,1.52,0.62,NA,NA,NA,NA,NA,2023-07-01T00:00:00Z,2024-03-01T00:00:00Z,23.37676768,23.72727273,23.7,23.7,33.6,34.4,dry,late_wet
B_2022_75,-23.0356,30.91466,Xidulu,2024,15,0.8,5.04,12.4,0.34,33.56,11.22,3.43,9.38,0.46,11.47,0.5,0.63,1.12,0.1,0.005,6.32,11.68,0.09,1.21,5.19,-15.16,NA,20-Mar-24,Xidulu_2024_soil,2022,13-Aug-22,8/6/2022,592,male,Natural,adult,Colophospermum mopane,1.629,46.647,2.150160339,-27.69030883,508.4170685,3462.787598,5057.787598,North,Granite,Colophospermum mopane / Acacia nigrescens savanna,C.mopane/Pterocarpus rotundifolius/C.apiculatum bush savanna,Slightly undulating plains becoming more undulating & incised close to Phugwane R,PH10: Bububu,382.399147,2022-08-06T00:00:00Z,2024-03-20T00:00:00Z,464.0071971,366.7219651,347.0202868,180.2284272,316,24,10,314.1592654,1.00585924,249.8807754,7.01,4.444444444,28,7,NA,0.01,NA,NA,NA,NA,NA,NA,2022-08-01T00:00:00Z,2024-03-01T00:00:00Z,23.16161616,22.75454545,23.6,23.56363636,33.1,33.5,dry,late_wet
B_2023_66,-23.81536,31.49551,Machalolo,2024,5,0.28,19.21,69.44,0.6,3.05,8.31,4.23,20.33,6.91,5.06,3.45,0.06,0.05,0.06,0.17,5.16,20.01,0.07,0.79,5.86,-19.1,NA,16-Mar-24,Machalolo_2024_soil,2023,16-Jul-23,7/16/2023,244,female,Management,adult,Colophospermum mopane,1.644,47.06,8.826519987,-27.31235174,1200.249433,4883.600586,7517.097656,Central,Basalt,Punda Maria Sandveld on Cave Sandstone,Chomophytes on rock outcrops with T.sericea/C.zeyheri/C.collinum bush savanna on deep sand. C.mopane/E.divinorum tree/bush savanna on shale/mudstone,Strongly - slightly undulating plains of LTIII erosion surface,BU01: Bulweni,365.0032478,2023-07-16T00:00:00Z,2024-03-16T00:00:00Z,462.376609,473.4461799,275.8268936,286.7453411,370,46,10,314.1592654,1.177746579,359.9637699,0.51,5,95,0,0.02,1.52,0.62,NA,NA,NA,NA,NA,2023-07-01T00:00:00Z,2024-03-01T00:00:00Z,23.37676768,23.72727273,23.7,23.7,33.6,34.4,dry,late_wet
B_2023_19,-23.06706,31.35151,Flats,2024,15,1.39,26.9,28.75,1.04,94.57,34.47,4.16,13.71,7.01,5.52,0.26,0.01,0.08,0.04,0.28,7.25,14.33,0.19,3.03,3.86,-13.96,NA,21-Mar-24,Flats_2024_soil,2023,23-Feb-23,2/21/2023,394,female,Natural,adult,Colophospermum mopane,1.678,45.982,0.597383039,-26.2668824,1133.617664,2712.178955,3233.879639,North,Basalt,Colophospermum mopane shrubveld on basalt,Dense-moderately dense C. mopane shrub savanna.Dominant grasses:Bothriocloa radicans & Setaria woodii,Flat & level plains related to LTIII erosion surface,LE03: Mooiplaas,409.2332781,2023-02-21T00:00:00Z,2024-03-21T00:00:00Z,439.5692602,441.4717784,180.15639,192.8069208,347,31,10,314.1592654,1.104535305,319.3528437,5.81,4.846153846,12,1,NA,0.45,0.86,NA,NA,NA,NA,NA,2023-02-01T00:00:00Z,2024-03-01T00:00:00Z,23.81212121,23.71818182,24.04545455,24.04545455,35.2,35.1,late_wet,late_wet
