site,lat,long,line_id,unique_id,year_sampled,nickname,section,y_obs,d_obs,est_d_death,sex,cause_death,age_class,date_sampled,age_days,type,soil_type,region,average_rainfall_mm,land_gertenbach1983,Domwoody_venter,Geomorph_venter,LTYPE_venter,dist2road,dist2river,dist2aw,feather_count,skull_found,skull_lat,skull_long,rocky_count,notes_24,notes_25,death_date,survey_date,death_month,survey_month,average_precip_16_25,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,average_temp_16_24,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,season_survey,ele_count_2017_buf,ele_groups_2017_buf,buffer_km,buffer_area_km2,ele_density_2017_buf,ele_pressure_2017,dung_e,near_river,near_aw,near_road,z_dung,z_river,z_aw,z_road,ele_pressure_proxy,hyena_density_2015_idw,unique_id_fixed,dis.road.m,date_visit,strike,distance_m,soil_resistance,mass_bones,average_score_bones,frag_count,nonfrag_count,pellets_dung,elephant_dung,pat_dung,zebra_dung,hyena_dung,jackal_dung,carnivore_dung,rhino_dung,PO4_mgkg,SO4_mgkg,NO3_mgkg,NH3_mgkg,HCO3_mgkg,Ca_mgkg,Mg_mgkg,K_mgkg,Na_mgkg,Cl_mgkg,Fe_mgkg,Mn_mgkg,Cu_mgkg,Zn_mgkg,B_mgkg,pH,P_Bray_I_mgkg,N.per,C.per,N15,C13,N.per_fol,C.per_fol,N15_fol,C13_fol
B_2022_129,-25.121177,31.33036,Khensani_2025,B_2022_129_2025,2025,Khensani,Pretoriuskop,2022,16-Nov-22,16-Nov-22,female,Management,adult,10-Jul-25,967,carcass,Granite,South,570.5978715,Combretum collinum / Combretum zeyheri woodland,Open-dense Terminalia sericea/Dichrostachys cinereatree savanna.  Pterocarpus angolensis is often a prominent tree,Moderately undulating plains below foothills of Great Escarp.(highest areas of landsys),SK01: Pretoriuskop,930.6087778,2631.378662,3434.723389,0,no,NA,NA,NA,NA,NA,2022-11-16T00:00:00Z,2025-07-10T00:00:00Z,2022-11-01T00:00:00Z,2025-07-01T00:00:00Z,671.8596036,672.6183882,965.7280321,587.7765889,21.83434343,21.72727273,21.69090909,23.33,32.1,33,early_wet,dry,352,38,10,314.1592654,1.120450799,293.0257491,1.098612289,-2631.378662,-3434.723389,-930.6087778,0.780653471,0.584371265,0.373447475,-0.660333327,0.269534721,0.398881864,B_2022_129_2025,931,10-Jul-25,15,0.5,13131.7886,0.32,5,3,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2025_4,-25.18761,31.88496,Siwela_2025,B_2025_4_2025,2025,Siwela,Lower Sabie,2025,not_provided,27-Feb-25,female,Natural,adult,4-Aug-25,158,carcass,Basalt,South,437.5604382,Acacia welwitschii thickets on Karoo sediments,A.welwitschii/E.diinorum tree savanna with Spirostachys africana near drainage channels.,Flat-slightly undulating with scattered low koppies & rock outcrops,VU01: Vutome,261.3112908,7014.594238,4171.882324,18,no,NA,NA,NA,NA,NA,2025-02-27T00:00:00Z,2025-08-04T00:00:00Z,2025-02-01T00:00:00Z,2025-08-01T00:00:00Z,627.4551109,661.7758179,221.3505282,551.3210597,23.02424242,23.08,NA,24.8125,34.3,34.3,late_wet,dry,458,46,10,314.1592654,1.457859279,350.0857418,1.978239036,-7014.594238,-4171.882324,-261.3112908,2.349727992,-0.533278845,-0.08825686,0.576979717,0.576293001,1.185906954,B_2025_4_2025,300,4-Aug-25,15,0.5,13131.7886,5.24,4.642857143,62,5,0.08,6.23,NA,NA,NA,NA,NA,NA,7.98,38.12,795.06,41.07,3.05,47.88,29.73,202.28,195.73,317.35,0.02,2.97,0.03,0.04,0.17,4.69,41.3,0.09,0.88,11.13,-18.26,NA,NA,NA,NA
B_2022_129,-25.121177,31.33036,Khensani_2025,B_2022_129_2025,2025,Khensani,Pretoriuskop,2022,16-Nov-22,16-Nov-22,female,Management,adult,10-Jul-25,967,carcass,Granite,South,570.5978715,Combretum collinum / Combretum zeyheri woodland,Open-dense Terminalia sericea/Dichrostachys cinereatree savanna.  Pterocarpus angolensis is often a prominent tree,Moderately undulating plains below foothills of Great Escarp.(highest areas of landsys),SK01: Pretoriuskop,930.6087778,2631.378662,3434.723389,0,no,NA,NA,NA,NA,NA,2022-11-16T00:00:00Z,2025-07-10T00:00:00Z,2022-11-01T00:00:00Z,2025-07-01T00:00:00Z,671.8596036,672.6183882,965.7280321,587.7765889,21.83434343,21.72727273,21.69090909,23.33,32.1,33,early_wet,dry,352,38,10,314.1592654,1.120450799,293.0257491,1.098612289,-2631.378662,-3434.723389,-930.6087778,0.780653471,0.584371265,0.373447475,-0.660333327,0.269534721,0.398881864,B_2022_129_2025,931,10-Jul-25,10,0.5,10943.15717,0.32,5,3,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2022_129,-25.121177,31.33036,Khensani_2025,B_2022_129_2025,2025,Khensani,Pretoriuskop,2022,16-Nov-22,16-Nov-22,female,Management,adult,10-Jul-25,967,carcass,Granite,South,570.5978715,Combretum collinum / Combretum zeyheri woodland,Open-dense Terminalia sericea/Dichrostachys cinereatree savanna.  Pterocarpus angolensis is often a prominent tree,Moderately undulating plains below foothills of Great Escarp.(highest areas of landsys),SK01: Pretoriuskop,930.6087778,2631.378662,3434.723389,0,no,NA,NA,NA,NA,NA,2022-11-16T00:00:00Z,2025-07-10T00:00:00Z,2022-11-01T00:00:00Z,2025-07-01T00:00:00Z,671.8596036,672.6183882,965.7280321,587.7765889,21.83434343,21.72727273,21.69090909,23.33,32.1,33,early_wet,dry,352,38,10,314.1592654,1.120450799,293.0257491,1.098612289,-2631.378662,-3434.723389,-930.6087778,0.780653471,0.584371265,0.373447475,-0.660333327,0.269534721,0.398881864,B_2022_129_2025,931,10-Jul-25,10,1,10943.15717,0.32,5,3,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2023_131,-23.11294,31.53799,Limpopo_2025,B_2023_131_2025,2025,Limpopo,Shingwedzi,2023,24-Nov-23,10-Nov-23,Female,Natural,Adult,15-Aug-25,644,carcass,Basalt,North,427.6047283,Mixed Combretum / Colophospermum mopane woodland,Open-moderately dense C. mopane bush savanna with A.exuvialis,Dissected & moderately undulating land from Quaternary erosion,LE05: Shingwedzi,4.937845573,5822.512207,6665.002441,0,yes,-23.11324,31.53758,NA,NA,NA,2023-11-10T00:00:00Z,2025-08-15T00:00:00Z,2023-11-01T00:00:00Z,2025-08-01T00:00:00Z,377.7071393,345.3684454,220.5473533,418.1238599,23.76313131,23.74545455,24.71818182,26.8875,34.4,37.4,early_wet,dry,424,37,10,314.1592654,1.349633917,301.7845535,0.231111721,-5822.512207,-6665.002441,-4.937845573,-0.766790421,-0.229316927,-1.649771358,1.050930709,-0.398736999,0.304691532,B_2023_131_2025,5,15-Aug-25,10,2.5,10943.15717,9.86,4.722222222,26,3,NA,0.26,0.02,NA,NA,NA,NA,NA,1.89,44.47,1050.92,19.68,0.61,162.98,66.24,110.23,87.8,49.1,0.02,1.82,0.08,0.05,0.14,4.54,73.53,0.14,1.44,13.56,-18.32,NA,NA,NA,NA
B_2023_131,-23.11294,31.53799,Limpopo_2025,B_2023_131_2025,2025,Limpopo,Shingwedzi,2023,24-Nov-23,10-Nov-23,Female,Natural,Adult,15-Aug-25,644,carcass,Basalt,North,427.6047283,Mixed Combretum / Colophospermum mopane woodland,Open-moderately dense C. mopane bush savanna with A.exuvialis,Dissected & moderately undulating land from Quaternary erosion,LE05: Shingwedzi,4.937845573,5822.512207,6665.002441,0,yes,-23.11324,31.53758,NA,NA,NA,2023-11-10T00:00:00Z,2025-08-15T00:00:00Z,2023-11-01T00:00:00Z,2025-08-01T00:00:00Z,377.7071393,345.3684454,220.5473533,418.1238599,23.76313131,23.74545455,24.71818182,26.8875,34.4,37.4,early_wet,dry,424,37,10,314.1592654,1.349633917,301.7845535,0.231111721,-5822.512207,-6665.002441,-4.937845573,-0.766790421,-0.229316927,-1.649771358,1.050930709,-0.398736999,0.304691532,B_2023_131_2025,5,15-Aug-25,15,0.5,10943.15717,9.86,4.722222222,26,3,NA,0.26,0.02,NA,NA,NA,NA,NA,2.05,101.94,1649.91,239.25,15.25,149.05,75.66,116.25,198.37,180.35,0.02,2.62,0.21,0.06,0.18,5.57,115.47,0.22,1.36,20.61,-17.84,NA,NA,NA,NA
B_2023_131,-23.11294,31.53799,Limpopo_2025,B_2023_131_2025,2025,Limpopo,Shingwedzi,2023,24-Nov-23,10-Nov-23,Female,Natural,Adult,15-Aug-25,644,carcass,Basalt,North,427.6047283,Mixed Combretum / Colophospermum mopane woodland,Open-moderately dense C. mopane bush savanna with A.exuvialis,Dissected & moderately undulating land from Quaternary erosion,LE05: Shingwedzi,4.937845573,5822.512207,6665.002441,0,yes,-23.11324,31.53758,NA,NA,NA,2023-11-10T00:00:00Z,2025-08-15T00:00:00Z,2023-11-01T00:00:00Z,2025-08-01T00:00:00Z,377.7071393,345.3684454,220.5473533,418.1238599,23.76313131,23.74545455,24.71818182,26.8875,34.4,37.4,early_wet,dry,424,37,10,314.1592654,1.349633917,301.7845535,0.231111721,-5822.512207,-6665.002441,-4.937845573,-0.766790421,-0.229316927,-1.649771358,1.050930709,-0.398736999,0.304691532,B_2023_131_2025,5,15-Aug-25,15,2.5,10943.15717,9.86,4.722222222,26,3,NA,0.26,0.02,NA,NA,NA,NA,NA,1.89,44.47,1050.92,19.68,0.61,162.98,66.24,110.23,87.8,49.1,0.02,1.82,0.08,0.05,0.14,4.54,73.53,0.14,1.44,13.56,-18.32,NA,NA,NA,NA
B_2023_144,-25.38026,32.01188,Bushwillow_2025,B_2023_144_2025,2025,Bushwillow,Crocodile Bridge,2023,27-Dec-23,20-Dec-23,female,Shot,adult,25-Jul-25,583,carcass,Granite,South,259.9222104,Lebombo South,Dense-moderately dense C.apiculatum/P.rotundifolius bush savanna.  A.nigrescens on clayey soils associated with dolerite dykes & D.africana,Low mts & hills with strongly-slightly undulating landform.  Deeply incised by spruits to form deep narr,SP01: Sabiepoort,14.46152655,NA,NA,0,yes,-25.38052,32.01201,NA,NA,NA,2023-12-20T00:00:00Z,2025-07-25T00:00:00Z,2023-12-01T00:00:00Z,2025-07-01T00:00:00Z,653.958884,710.7391033,629.7137079,560.2425804,22.05454545,22.12727273,22.44545455,22.59,31.3,32.6,early_wet,dry,101,17,10,314.1592654,0.321492985,230.7241277,0.683096845,NA,NA,-14.46152655,0.039458756,NA,NA,1.033324525,0.536391641,0.655550039,B_2023_144_2025,14,25-Jul-25,10,1,10943.15717,1,4.875,35,1,0.16,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B_2024_98,-24.797829,31.8706,Show_Biz_2025,B_2024_98_2025,2025,Show Biz,Tshokwane,2024,4/15/2024,4/14/2024,male,Fighting,adult,14-Jul-25,456,carcass,Basalt,Central,447.8512669,Sclerocarya birrea subspecies caffra /Acacia nigrescens savanna,Acacia nigrescens/Sclerocarya birrea tree savanna.Dichrostachys cinerea prominent shrub,Flat-slightly undulating plains associated with interfluvial areas & related to LT III erosion surface,SA01: Satara,107.0284124,1947.372681,2314.832031,0,yes,-24.79654,31.87041,NA,NA,NA,2024-04-14T00:00:00Z,2025-07-14T00:00:00Z,2024-04-01T00:00:00Z,2025-07-01T00:00:00Z,607.9748614,561.192524,533.4564948,539.0150743,22.64090909,22.67727273,22.50714286,23.75,32.7,34.1,dry,dry,99,16,10,314.1592654,0.315126787,356.2991286,0.955511445,-1947.372681,-2314.832031,-107.0284124,0.525390783,0.758781888,1.074868389,0.862198505,0.805309891,0.486836822,B_2024_98_2025,107,14-Jul-25,15,0.5,10943.15717,1.34,5,39,0,0.28,1.6,0.54,NA,NA,NA,NA,NA,0.32,5.01,118.25,45.35,12.2,134,55.45,114.19,148.4,18.61,0.02,0.95,0.08,0.03,0.17,5.61,198.69,0.21,1.86,12.86,-16.57,NA,NA,NA,NA
B_2025_4,-25.18761,31.88496,Siwela_2025,B_2025_4_2025,2025,Siwela,Lower Sabie,2025,not_provided,27-Feb-25,female,Natural,adult,4-Aug-25,158,carcass,Basalt,South,437.5604382,Acacia welwitschii thickets on Karoo sediments,A.welwitschii/E.diinorum tree savanna with Spirostachys africana near drainage channels.,Flat-slightly undulating with scattered low koppies & rock outcrops,VU01: Vutome,261.3112908,7014.594238,4171.882324,18,no,NA,NA,NA,NA,NA,2025-02-27T00:00:00Z,2025-08-04T00:00:00Z,2025-02-01T00:00:00Z,2025-08-01T00:00:00Z,627.4551109,661.7758179,221.3505282,551.3210597,23.02424242,23.08,NA,24.8125,34.3,34.3,late_wet,dry,458,46,10,314.1592654,1.457859279,350.0857418,1.978239036,-7014.594238,-4171.882324,-261.3112908,2.349727992,-0.533278845,-0.08825686,0.576979717,0.576293001,1.185906954,B_2025_4_2025,300,4-Aug-25,10,0.5,10943.15717,5.24,4.642857143,62,5,0.08,6.23,NA,NA,NA,NA,NA,NA,7.98,38.12,795.06,41.07,3.05,47.88,29.73,202.28,195.73,317.35,0.02,2.97,0.03,0.04,0.17,4.69,41.3,0.09,0.88,11.13,-18.26,NA,NA,NA,NA
