site,nickname,gender,age,lat,long,date_report,est_d_death,date_visit,age_days,transect,species,distance_m,browsed,notes,year_sampled,unique_id,y_obs,section,age_class,cause_death,soil_type,type,region,average_rainfall_mm,dist2road,dist2river,dist2aw,mass_bones,pellets_dung,elephant_dung,pat_dung,zebra_dung,precip_12mo_before_death,precip_12mo_after_death,precip_12mo_before_survey,average_precip_16_25,temp_12mo_before_death,temp_12mo_after_death,temp_12mo_before_survey,average_temp_16_24,temp_max_12mo_before_death,temp_max_12mo_before_survey,season_death,ele_density_2017_buf,hyena_density_2015_idw
B_2022_30,Airport,Male,Adult,-24.970945,31.619322,2022-Apr-15,4/15/2022,7/20/2023,461,E,Grewia_bicolor,15,0,NA,2023,B_2022_30_2023,2022,Skukuza,adult,DCA,Granite,carcass,South,475.9185388,632.8392603,1640.893921,4457.464355,0.13,0.46,NA,NA,NA,578.2764215,709.1182847,695.2746511,554.5272274,21.95,22.24090909,22.50454545,22.31717172,32.1,31.7,dry,1.228676161,1.091078465
B_2023_7,Beautiful,Male,Adult,-25.07005,31.34907,2023-Jan-14,1/14/2023,7/28/2023,195,SE,Combretum_hereroense,15,3,NA,2023,B_2023_7_2023,2023,Pretoriuskop,adult,Management,Granite,carcass,South,578.7707393,77.00154793,1727.896851,5030.979004,9.9,0.38,8.76,0.46,0.6,575.9107504,800.1718283,854.7009468,640.8972425,21.95,22.05909091,22.21363636,22.06060606,32,31.7,late_wet,0.751211331,0.42696821
B_2019_51,Goldilocks,Male,Adult,-25.00095,31.47464,2019-Jul-09,7/9/2019,7/27/2023,1479,W,Ziziphus_mucronata,15,8,dng,2023,B_2019_51_2023,2019,Skukuza,adult,Management,Granite,carcass,South,554.9358696,458.962897,2215.163086,4068.99585,109.14,0.18,0.12,0.03,NA,507.0473132,499.5334642,733.8088856,565.1577309,22.42272727,21.91363636,22.37727273,22.22323232,32.7,31.6,dry,0.413802852,0.691881655
B_2023_2,Helga's,Male,Adult,-25.00534,31.44486,2023-Jan-09,1/9/2023,7/27/2023,199,NE,Searsia_gueinzii,15,1,dng,2023,B_2023_2_2023,2023,Skukuza,adult,Poached,Granite,carcass,South,567.5346222,513.1584606,2891.829834,3353.413574,5.15,0.15,NA,0.25,0.07,543.8136041,722.9871488,773.993633,591.3479488,22.15454545,22.31818182,22.44545455,22.27020202,32,31.7,late_wet,0.159154943,0.898707161
B_2023_2,Helga's,Male,Adult,-25.00534,31.44486,2023-Jan-09,1/9/2023,7/27/2023,199,W,Euclea_divinorum,15,0,dng,2023,B_2023_2_2023,2023,Skukuza,adult,Poached,Granite,carcass,South,567.5346222,513.1584606,2891.829834,3353.413574,5.15,0.15,NA,0.25,0.07,543.8136041,722.9871488,773.993633,591.3479488,22.15454545,22.31818182,22.44545455,22.27020202,32,31.7,late_wet,0.159154943,0.898707161
B_2023_38,Mahlati,Male,Adult,-23.26031,31.46411,2023-May-26,5/12/2023,8/7/2023,87,NW,Colophospermum_mopane,15,10,dng,2023,B_2023_38_2023,2023,Shingwedzi,adult,Natural,Basalt,carcass,North,402.0563411,23.69814816,10152.50586,4480.57959,104.99,NA,9.58,NA,NA,357.7837964,214.9998305,365.3916154,386.7207959,23.51818182,23.63636364,23.76363636,23.52474747,34.6,34.6,dry,0.964478955,0.420685321
B_2023_38,Mahlati,Male,Adult,-23.26031,31.46411,2023-May-26,5/12/2023,8/7/2023,87,SE,Colophospermum_mopane,15,5,dng,2023,B_2023_38_2023,2023,Shingwedzi,adult,Natural,Basalt,carcass,North,402.0563411,23.69814816,10152.50586,4480.57959,104.99,NA,9.58,NA,NA,357.7837964,214.9998305,365.3916154,386.7207959,23.51818182,23.63636364,23.76363636,23.52474747,34.6,34.6,dry,0.964478955,0.420685321
B_2020_6,Mandzemba,Male,Adult,-23.0362,31.48537,2020-Feb-01,1/30/2020,8/15/2023,1293,E,Colophospermum_mopane,15,0,NA,2023,B_2020_6_2023,2020,Shingwedzi,adult,Natural,Basalt,carcass,North,409.7337338,1423.558839,8430.255859,3671.312012,38.95,NA,0.53,NA,NA,362.7603145,496.7391738,317.9373112,369.3038834,24.09090909,23.45,23.95909091,23.73787879,34.3,34.5,late_wet,0.576140894,0.294573147
B_2020_6,Mandzemba,Male,Adult,-23.0362,31.48537,2020-Feb-01,1/30/2020,8/15/2023,1293,SE,Colophospermum_mopane,15,2,NA,2023,B_2020_6_2023,2020,Shingwedzi,adult,Natural,Basalt,carcass,North,409.7337338,1423.558839,8430.255859,3671.312012,38.95,NA,0.53,NA,NA,362.7603145,496.7391738,317.9373112,369.3038834,24.09090909,23.45,23.95909091,23.73787879,34.3,34.5,late_wet,0.576140894,0.294573147
B_2022_61,Mopane,Male,Adult,-23.12896,31.43464,2022-Jul-07,7/7/2022,8/9/2023,398,NW,Colophospermum_mopane,15,8,dng,2023,B_2022_61_2023,2022,Shingwedzi,adult,DCA,Basalt,carcass,North,384.6655571,524.4575113,1548.173096,2296.010254,25.69,0.01,0.55,NA,NA,400.0614641,348.7654159,349.3315204,373.3621478,23.18636364,23.85909091,23.85909091,23.62474747,34.4,35,dry,2.247267796,0.208349568
B_2022_61,Mopane,Male,Adult,-23.12896,31.43464,2022-Jul-07,7/7/2022,8/9/2023,398,W,Colophospermum_mopane,15,4,dng,2023,B_2022_61_2023,2022,Shingwedzi,adult,DCA,Basalt,carcass,North,384.6655571,524.4575113,1548.173096,2296.010254,25.69,0.01,0.55,NA,NA,400.0614641,348.7654159,349.3315204,373.3621478,23.18636364,23.85909091,23.85909091,23.62474747,34.4,35,dry,2.247267796,0.208349568
